bone_name,constraint_name,mute,target,subtarget_bone_name,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
Ring.R.001,Transformation,False,Loris.Armature,Ring_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Thumb.R.002,Transformation,False,Loris.Armature,Thumb_T.R.002,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Thumb.R.003,Transformation,False,Loris.Armature,Thumb_T.R.003,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Index_Root.R,Transformation,False,Loris.Armature,Index_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,0.0872664600610733,-0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
Index.R,Transformation,False,Loris.Armature,Index_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,1.5707963705062866,-1.5707963705062866,0.0,0.0,-1.5707963705062866,1.5707963705062866,LOCAL,LOCAL
Index.R.001,Transformation,False,Loris.Armature,Index_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Shanks.L.005,Rig Ctrl,False,Loris.Armature,Foot_P.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Shanks.L.006,Rig Ctrl,False,Loris.Armature,Heel_T.L.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.0,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Foot.L,Rig Ctrl,False,Loris.Armature,Heel_T.L.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
2ndToe.L.003,Transformation,False,Loris.Armature,2ndToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
2ndToe.L.002,Transformation,False,Loris.Armature,2ndToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.L.001,Transformation,False,Loris.Armature,2ndToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.L,Transformation,False,Loris.Armature,2ndToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.L,Transformation,False,Loris.Armature,3rdToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.L.001,Transformation,False,Loris.Armature,3rdToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.L.002,Transformation,False,Loris.Armature,3rdToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.L.003,Transformation,False,Loris.Armature,3rdToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
4thToe.L,Transformation,False,Loris.Armature,4thToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.L.001,Transformation,False,Loris.Armature,4thToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.L.002,Transformation,False,Loris.Armature,4thToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.L.003,Transformation,False,Loris.Armature,4thToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
LittleToe.L,Transformation,False,Loris.Armature,LittleToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.L.001,Transformation,False,Loris.Armature,LittleToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.L.002,Transformation,False,Loris.Armature,LittleToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.L.003,Transformation,False,Loris.Armature,LittleToe_T.L,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
BigToe.L,Rig Ctrl,False,Loris.Armature,Toe_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
BigToe.L.001,Rig Ctrl,False,Loris.Armature,BigToe_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
BigToe.L.002,Rig Ctrl,False,Loris.Armature,BigToe_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Shanks.R.005,Rig Ctrl,False,Loris.Armature,Foot_P.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Shanks.R.006,Rig Ctrl,False,Loris.Armature,Heel_T.R.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.0,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Foot.R,Rig Ctrl,False,Loris.Armature,Heel_T.R.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
2ndToe.R.003,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
2ndToe.R.002,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.R.001,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.R,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.001,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.002,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.003,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
4thToe.R,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.001,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.002,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.003,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
LittleToe.R,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.001,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.002,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.003,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
BigToe.R,Rig Ctrl,False,Loris.Armature,Toe_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
